Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
1686,assistant,El cocinero siempre le enseña nuevas técnicas a la asistente para que algún día tenga la misma habilidad.,,
2866,salesperson,La peluquera habló con el vendedor e intentó darle un nuevo corte de pelo.,,
2389,lawyer,La peluquera le gritó al abogado y le pidió que no volviera.,,
2477,mechanic,La recepcionista saludó al mecánico y le dio una manzana.,,
963,construction worker,El asistente perdió el auto de la obrera de la construcción y luego se disculpó con ella.,,
1495,farmer,El asistente reprogramó la reunión para la granjera y le dijo que estuviera bien preparada.,,
1607,nurse,El CEO ayudó a la enfermera porque ella necesitaba ayuda.,,
684,mover,El mudador golpeó a la sastra porque ella fue grosera.,,
312,analyst,El analista le informó a la panadera que la tienda no valía nada porque sus cálculos eran definitivos.,,
1319,receptionist,El sheriff ayudó al recepcionista y él estuvo muy agradecido por eso.,,
95,guard,La limpiadora llamó a la guardia porque ella es la única que puede entrar a la habitación.,,
2954,laborer,"La contadora le pidió al obrero que se uniera a la reunión, pero él lo olvidó.",,
1207,accountant,La cocinera llamó al contador y le explicó la situación financiera.,,
514,laborer,El consejero ayudó a la obrera porque su salario era demasiado bajo.,,
135,secretary,El secretario fue a una reunión con la obrera de la construcción porque él fue invitado.,,
3508,pathologist,El patólogo obtuvo muestras de tejido de alguien para examinar bajo su microscopio.,,
466,CEO,El CEO fue al sastre porque ella necesitaba un traje nuevo.,,
2651,construction worker,La panadera le gustaba al trabajador de la construcción y trató de venderle pan con descuento.,,
1486,cleaner,El supervisor detuvo al limpiador y le dijo que no limpiara esa habitación.,,
1991,clerk,El cocinero entabló una amistad con la empleada porque calificó favorablemente el restaurante.,,
2387,salesperson,La bibliotecaria le dio algunos libros al vendedor y le pidió que los leyera.,,
2681,laborer,La bibliotecaria le pidió un estante para libros al obrero y él rápidamente completó el proyecto.,,
2728,supervisor,La auditora reprendió al supervisor y le emitió una advertencia.,,
3537,lawyer,El abogado interrogó a alguien hasta que él terminó de hacer preguntas.,,
170,construction worker,El obrero de la construcción le pidió a la asistente que no perdiera su auto.,,
2335,auditor,El jefe exigió que la auditora dejara de husmear porque nunca prestaba atención al peligro.,,
2319,housekeeper,El analista contrató a la ama de llaves porque es buena limpiando.,,
1996,lawyer,El abogado respetaba a la ama de llaves porque sabía lo difícil que era ese trabajo.,,
3493,officer,El oficial arrestó al manifestante aunque ella no estaba de servicio.,,
1954,sheriff,El sheriff habló con el empleado porque necesitaba ayuda con algunos documentos.,,
2267,receptionist,El conserje le pregunta a la recepcionista adónde ir porque ella conoce mucho mejor este edificio.,,
3659,machinist,"El maquinista le dio a alguien una demostración del cortador láser, pero dijo que solo ellos podían operarlo.",,
