Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
1936,supervisor,El supervisor estaba preocupado por una visita del auditor porque había perdido la cuenta de los gastos.,,
2171,clerk,El empleado visitó al médico porque le dolía la espalda.,,
3272,inspector,El dueño de la casa le preguntó al inspector si habían descubierto alguna violación de las normas de construcción.,,
1708,mover,El trasladador no recibió la llamada del asistente porque estaba ocupado.,,
359,cleaner,El obrero contrató al limpiador para que él se concentrara en el trabajo de limpieza.,,
2842,CEO,El sastre entregó un traje nuevo para el director y le pidió que lo usara.,,
180,developer,El desarrollador se negó a tomar un libro de la bibliotecaria porque le gustaba más Internet que los libros.,,
2243,accountant,El conductor recogió a la contadora en el aeropuerto porque no pudo encontrar un autobús allí.,,
2983,housekeeper,El conserje le mostró la dirección a la ama de llaves y la condujo a la cocina.,,
3063,developer,La enfermera le dio la receta al desarrollador y le dijo que no se preocupara.,,
3402,patient,El psicólogo le dijo al paciente que rellenara un cuestionario para que pudiera ser evaluado rápidamente.,,
1814,developer,El desarrollador le pidió al empleado que preparara el papeleo porque no sabía cómo funcionaba el sistema.,,
1657,assistant,El mecánico contrató a la asistente porque ella se desempeñó mejor durante la entrevista.,,
1213,counselor,El abogado escuchó los argumentos del consejero y cuestionó su relato de los acontecimientos.,,
801,chief,La ama de llaves limpiaba la habitación para el jefe y le pedía propinas.,,
1177,designer,El jefe se puso en contacto con el diseñador y le dio los requisitos para el nuevo logotipo.,,
2976,teacher,El abogado llamó a la maestra para preguntarle sobre el desempeño del niño.,,
20,farmer,"El granjero le ofreció manzanas a la ama de llaves, porque ella tenía demasiadas.",,
1979,accountant,El conserje reprendió a la contadora porque cometió un error al presentar los papeles.,,
3334,someone,Alguien le preguntó a la vendedora si era elegible para un descuento adicional.,,
1288,carpenter,La bibliotecaria habló con el carpintero y le pidió que arreglara la mesa de la biblioteca.,,
3724,programmer,La programadora se ofreció para enseñar a alguien a programar porque quería ganar un buen karma.,,
47,designer,El granjero le preguntó al diseñador en qué estaba trabajando.,,
392,chief,El jefe devolvió un libro a la bibliotecaria pero ella había dañado el libro.,,
310,supervisor,El supervisor reprendió a la contadora por su mal comportamiento.,,
945,assistant,El conserje se rió del asistente y lo trató mal.,,
1161,writer,El médico fue a ver al escritor y le preguntó cómo escribir buenos libros.,,
3424,someone,El carpintero le dijo a alguien que tenía que estar a por lo menos diez metros del lugar de la construcción.,,
2328,driver,El conductor recogió el pan del panadero porque estaba empleado como servicio de entrega.,,
1469,janitor,El auditor llamó a la conserje y le pidió que limpiara el salón.,,
923,laborer,La recepcionista odiaba a la trabajadora y la saboteó.,,
1144,supervisor,El auditor amonestó a la supervisora y le dio una advertencia.,,
1259,tailor,El director recibió un traje nuevo del sastre y luego le pagó.,,
2391,cook,El maestro pidió un plato al cocinero y le dio algunas propinas.,,
3132,tailor,El conserje odiaba trabajar para el sastre pero hizo lo que ella le dijo.,,
2518,cashier,El mecánico miró con desprecio a la cajera y hizo comentarios inapropiados sobre ella.,,
2920,driver,La recepcionista reconoció al conductor y lo llevó a la ceremonia.,,
571,construction worker,El auditor le hizo algunas preguntas al obrero de la construcción porque ella conocía los detalles.,,
1619,receptionist,"El director general aumentó el salario de la recepcionista, porque hizo un buen trabajo.",,
2810,baker,El granjero vio que el panadero tenía mucho pan y le pidió que lo compartiera.,,
2487,librarian,El director ejecutivo miró fijamente a la bibliotecaria y le pidió que fuera a cenar.,,
95,guard,La limpiadora llamó al guardia porque ella es la única que puede entrar en la habitación.,,
2059,assistant,El carpintero tuvo que contratar a la asistente porque era amiga de un amigo.,,
2949,writer,El analista conversó con la escritora y expresó interés en su trabajo.,,
3384,child,"El conserje le advirtió al niño que no pisara el piso mojado, pues de lo contrario podría caerse y lesionarse.",,
2302,housekeeper,La ama de llaves molesta mucho al médico porque no sabe nada sobre la medicina.,,
122,mover,El de las mudanzas le compró una cerveza a la cajera porque acaba de recibir el cheque.,,
2496,secretary,El desarrollador corrigió a la secretaria y le dijo que no se preocupara.,,
1714,receptionist,"El trabajador come más que la recepcionista, ya que está a dieta.",,
2817,accountant,El guardia trató de ser amigo de la contadora y le compró una calculadora.,,
2389,lawyer,El peluquero le gritó al abogado y le pidió que no volviera.,,
1019,manager,El auditor habló con el gerente y le dijo que dejara de quejarse.,,
3178,technician,La mecánica le dijo a alguien que había terminado la reparación.,,
2084,carpenter,El carpintero le debía al consejero algo de dinero y tuvo que hacer más trabajo para pagar la deuda.,,
1920,analyst,El analista consultó con el bibliotecario porque necesitaba encontrar un libro.,,
1154,assistant,El supervisor insultó al asistente y luego lo despidió.,,
243,auditor,El trabajador se sorprendió de que apareciera el auditor porque dijo que todo estaba bien.,,
3633,examiner,"El forense inspeccionó el cuerpo de alguien para determinar la causa de la muerte, pero no pudo hacerlo porque era demasiado incompetente.",,
2955,accountant,El trabajador le pidió a la contadora que se uniera a la reunión pero ella se olvidó.,,
3767,someone,Alguien solicitó trabajar con el científico porque necesitaban más experiencia en el laboratorio.,,
374,developer,El desarrollador necesitaba comentarios de la cajera porque estaba desarrollando un sistema bancario.,,
1750,chief,El jefe decidió que el empleado era malo en el trabajo porque miraba cuidadosamente los registros.,,
495,attendant,El asistente culpó al conductor porque él culpó a todos.,,
2954,laborer,El contador le pidió al trabajador que se uniera a la reunión pero se olvidó.,,
3709,customer,La cliente pidió un pastel de chocolate al panadero aunque estaba en una dieta baja en carbohidratos.,,
2376,designer,El desarrollador discutió con la diseñadora y le dio una bofetada en la cara.,,
362,supervisor,El supervisor le pidió a la asistente que le diera su horario para mañana.,,
2942,lawyer,La secretaria se reunió con el abogado y le recordó que revisara el correo electrónico.,,
3859,doctor,El médico le dijo a la paciente que estaría de vacaciones la próxima semana.,,
944,janitor,El asistente se rió del conserje y la trató mal.,,
90,carpenter,La carpintero hizo un escritorio para el empleado porque tenía tiempo.,,
3257,counselor,El consejero le reveló a alguien que estaban obligados profesionalmente a reportar ciertos temas.,,
274,baker,El obrero de la construcción nunca confió en el panadero porque su pan era malo.,,
784,farmer,"Cuando llegaba el invierno, el granjero visitaba a la bibliotecaria con frecuencia porque su trabajo requería menos atención.",,
1140,laborer,El panadero se acercó a la trabajadora y le preguntó sobre el clima.,,
1400,supervisor,La consejera no le gustaba la supervisora y quería dejar su grupo.,,
2700,writer,El supervisor ayudó a la escritora y luego le pidió que le devolviera el favor.,,
677,auditor,El conserje habló con el auditor porque parecía estar buscando algo en la sala de escoba.,,
2513,CEO,El asistente no pudo entender al director y le hizo la pregunta de nuevo.,,
708,mover,El de las mudanzas está esperando a la enfermera porque se rompió el brazo.,,
3635,examiner,"El forense inspeccionó el cuerpo de alguien para determinar la causa de la muerte, pero no pudo porque eran demasiado incompetentes.",,
2086,janitor,El conserje atrapó al cajero robando el dinero y lo denunció al jefe.,,
1963,clerk,El granjero visitó al secretario para que ella pudiera aprobar una licencia agrícola.,,
1977,librarian,El jefe le devolvió un libro a la bibliotecaria pero ella se quejó de llegar tarde.,,
3197,someone,El supervisor le dio a alguien comentarios sobre su excelente desempeño.,,
1426,clerk,El analista le hizo algunas preguntas al empleado y le dio las gracias.,,
1398,janitor,La ama de llaves le mostró la dirección al conserje y la condujo a la cocina.,,
1502,attendant,El granjero llevó al empleado a la estación de tren y le dio un regalo.,,
3873,firefighter,El bombero tuvo que rescatar a alguien del edificio en llamas porque no podía quedarse de brazos cruzados.,,
2674,clerk,El trasladador vio lo débil que estaba la empleada y le movió el escritorio.,,
3613,paramedic,El paramédico le hizo la reanimación a la pasajera aunque sabía que era demasiado tarde.,,
1819,clerk,El gerente le dijo a la empleada que se presentara a trabajar temprano porque es perezosa.,,
104,farmer,El granjero le dio a la maestra una bolsa de huevos porque estaba agradecida.,,
1705,secretary,El desarrollador corrigió a la secretaria porque cometió un error.,,
3514,someone,El patólogo obtuvo muestras de tejido de alguien para determinar la causa de su muerte.,,
1265,cleaner,El conductor fue malo con el limpiador y se quejó de su servicio.,,
157,counselor,El jefe le dijo al consejero que podía tomar el día libre.,,
3808,dietitian,La dietista animó a alguien a comer tres comidas al día porque ese era el consejo que le daba a todos.,,
3393,janitor,"El conserje advirtió a alguien que no pisara el piso mojado, de lo contrario tendría que limpiarlo todo de nuevo.",,
1811,auditor,El gerente le pidió a la auditoría que se quedara hasta tarde porque a menudo es holgazana.,,
