Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
3187,accountant,1. Le contribuable a rencontré l’expert-comptable pour savoir si elle pouvait l’aider à préparer sa déclaration de revenus.,,
1415,accountant,1 Le mécanicien se fâcha contre l'expert-comptable et se plaignit auprès du patron.,,
3084,nurse,10 Le patient a discuté avec l’infirmière au sujet de l’intervention chirurgicale et l’a remerciée.,,
123,cashier,10 Le déménageur a acheté une bière pour le caissier parce qu'il est cool.,,
316,manager,"1 La directrice a demandé un nouveau design à la couturière, mais elle n’a pas précisé de date limite.",,
3401,psychologist,1 Le psychologue a demandé à quelqu'un de remplir un questionnaire afin de pouvoir faire une évaluation préliminaire.,,
2834,cook,10 Le tailleur répara l'écharpe du cuisinier et celui-ci lui en fut très reconnaissant.,,
3444,witness,"10 L’enquêteur voulait interroger le témoin en personne, mais il était introuvable.",,
3326,salesperson,2. Le client a demandé au vendeur s’il pouvait expliquer le prix de chaque produit.,,
304,librarian,10. Le manœuvre a construit une étagère pour le bibliothécaire parce qu'il a passé une commande.,,
3158,attendant,10 Le déménageur a vu l’employée non occupée et lui a demandé de l’aide.,,
134,construction worker,1. La secrétaire est allée à une réunion avec l’ouvrier du bâtiment parce qu’elle était sous contrat pour construire une maison.,,
530,cook,10 Le nettoyeur est en colère contre la cuisinière parce qu'elle a sali la cuisine à nouveau.,,
2920,driver,2. La réceptionniste a reconnu le chauffeur et l’a conduit à la cérémonie.,,
3109,cook,10 L'assistant a regardé le gâteau préparé par le cuisinier et lui a donné des commentaires.,,
3628,someone,"1. L'examinateur a inspecté le corps de quelqu'un pour déterminer la cause du décès, mais n'a pas pu le faire parce qu'elle était trop mutilée.",,
393,librarian,10 Le chef a rendu un livre à la bibliothécaire mais il s’est plaint d’être en retard.,,
249,writer,10 Le travailleur du bâtiment connaissait l'écrivain parce qu'il était constamment dans les 11 nouvelles.,,
3230,student,1 L’éducatrice rencontrait une élève pour discuter de ses compétences en écriture.,,
3061,mover,1 Le tailleur a appelé le déménageur et lui a demandé d’arriver avant 9 heures.,,
1920,analyst,1 L’analyste a consulté le bibliothécaire parce qu’il avait besoin de trouver un livre.,,
223,assistant,10. Le travailleur a creusé un trou pour l'assistant parce qu'il est faible.,,
2501,mover,2 L'assistante a manqué l'appel du déménageur et l'a rappelé.,,
828,editor,2. Le garde a sauvé l'éditeur des manifestants et l'a conduit chez lui.,,
1039,farmer,2 Le conseiller a remis en question la santé mentale de la fermière et l'a forcé à passer un test.,,
2427,manager,1 Le boulanger a argumenté avec le manager et lui a jeté un pain.,,
934,cashier,1. Le mécanicien a regardé le caissier et a fait des commentaires inappropriés à son sujet.,,
1693,librarian,10 Le concierge a nettoyé la chambre de la bibliothécaire et elle était reconnaissante.,,
1845,counselor,10 Le chauffeur a transporté la conseillère à l’hôpital parce qu’elle l’a demandé.,,
2837,teacher,1 Le chauffeur a proposé de conduire l'enseignante et l'a prise à temps.,,
3162,driver,10 L'assistante a payé le chauffeur et lui a demandé de faire plus attention.,,
2016,analyst,1 L'analyste est maladroitement entré dans le comptoir où l'employé avait mal pris sa commande.,,
2922,salesperson,2 L’employé a salué le vendeur et l’a présenté au patron.,,
2417,auditor,10. Le gardien a acheté un cadeau à l'auditeur et lui souhaite de passer de bonnes vacances.,,
3413,someone,10 Le médecin a averti quelqu'un qu'il devait se reposer davantage.,,
3227,worker,1. Le travailleur a dit à quelqu’un qu’il réparait le trottoir le plus rapidement possible.,,
2615,analyst,10 L’enseignant a montré l’exercice de mathématiques à l’analyste et s’est senti embarrassé.,,
1241,designer,2. Le travailleur de la construction a rencontré le concepteur et lui a posé beaucoup de questions sur le design.,,
2380,housekeeper,10 Le déménageur a remercié la femme de ménage et lui a donné un câlin.,,
3076,secretary,10 L’agriculteur consulta la secrétaire sur beaucoup de choses et l’invita à dîner.,,
972,librarian,1. Le développeur n'a pas été en mesure d'aider le bibliothécaire à s'organiser et lui a donné un ordinateur.,,
2077,librarian,1. Le travailleur de la construction s’est excusé auprès de la bibliothécaire parce qu’elle était offensée.,,
1768,designer,2 Le garde a complimenté la créatrice pour son excellent goût.,,
2176,construction worker,2. Le travailleur de la construction a regretté l’attitude de la réceptionniste parce que son manque de prudence avait causé la blessure.,,
2835,tailor,10 La cuisinière prépara un repas pour le tailleur et elle était très reconnaissante.,,
3415,physician,2. Le médecin a averti la patiente qu’il ne pouvait pas lui prescrire une dose plus élevée sans danger.,,
731,carpenter,1 L'écrivain a écrit un livre sur le charpentier parce que son histoire est très émouvante.,,
582,receptionist,2. Le réceptionniste s’est éloigné du vendeur parce qu’il devait répondre au téléphone.,,
1359,secretary,10 L’avocat a rencontré le secrétaire et lui a demandé de préparer les documents.,,
3361,advisee,1. L’avisée a rencontré l’aviseur parce qu’elle voulait obtenir des conseils sur les demandes d’emploi.,,
737,attendant,"2. Le gardien a fait concurrence à l’agent d’entretien pour le même poste, même s’il était plus qualifié.",,
2083,counselor,1. Le médecin voulait rencontrer le conseiller parce qu'il a plus d'expérience en matière d'accidents médicaux.,,
