Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
2453,physician,L'infermiera vide il medico e gli chiese di dare un'occhiata al paziente.,,
1221,clerk,L'avvocato fece contatto visivo con il cancelliere e sorrise.,,
905,chief,Lo scrittore ha venduto un libro al capo e gli ha chiesto di pagare.,,
3161,farmer,Il bibliotecario consegnò i libri al contadino e lo incoraggiò a leggere di più.,,
535,cleaner,Il pulitore si arrabbiò con l'agricoltore perché doveva pulire di nuovo la sala.,,
2211,cleaner,Il lavoratore ha parlato con la pulitrice e ha ascoltato le sue lamentele sul salario.,,
3807,dietitian,Il dietologo incoraggiava qualcuno a mangiare tre pasti al giorno perché era il consiglio che dava a tutti.,,
346,janitor,La donna delle pulizie ha pulito l'ufficio del consulente perché è il suo lavoro.,,
947,chief,L'accountant chiamò il capo e la ringraziò per l'offerta.,,
1183,tailor,Il venditore pagò il sarto e lo ringraziò per un lavoro ben fatto.,,
1745,housekeeper,Il meccanico ha riparato l'auto della governante e poi lei ha scritto una nota di ringraziamento.,,
1469,janitor,L'auditor chiamò il custode e gli chiese di pulire il corridoio.,,
549,cook,L'addetto alla reception ha ricordato al cuoco di indossare i tute perché lei dimentica sempre.,,
828,editor,Il guardiano salvò l'editore dai manifestanti e lo portò a casa.,,
2309,sheriff,Il panettiere ha paura del sceriffo perché sembra molto serio.,,
1943,cleaner,Il lavoratore edile ha assunto la pulitrice in modo che possa concentrarsi sul lavoro di pulizia.,,
2039,cashier,Il conducente è andato dal cassiere perché sembrava che avesse bisogno di un passaggio.,,
1399,housekeeper,Il custode mostrò alla cameriera la direzione e lo condusse in cucina.,,
1619,receptionist,"Il CEO ha aumentato lo stipendio della receptionist, perché ha fatto un buon lavoro.",,
3640,someone,La chimica disse a qualcuno che avrebbe dovuto mettere gli occhiali di protezione prima di entrare nel laboratorio.,,
2710,mover,L'accountant ha parlato al mover e poi gli ha offerto un po 'di aiuto.,,
2993,auditor,Il sceriffo parlò con l’auditora e volle sentire la sua opinione.,,
1206,cook,L'accountant chiamò la cuoca e le chiese di preparare il cibo per una festa.,,
756,janitor,La donna delle pulizie ha spazzolato via il disordine del sarto perché gli era stato detto di farlo.,,
2658,librarian,Il conducente era imbarazzato dal cappello sciocco del bibliotecario e non l'ha mai portata da nessuna parte.,,
2254,construction worker,L'operaio edile ha bisogno dell'assistente per ricordargli il suo programma giornaliero.,,
893,mechanic,L'addetto alla reception ha salutato il meccanico e le ha dato una mela.,,
2760,chief,Il designer ha contattato il capo e gli ha chiesto i requisiti per il nuovo logo.,,
3427,carpenter,Il falegname disse all'osservatore che aveva lavorato sulla casa per tre settimane.,,
2098,laborer,Il consigliere ha aiutato il lavoratore perché il suo salario era troppo basso.,,
455,cashier,Il conducente è andato al cassiere perché sembrava che avesse bisogno di un passaggio.,,
2032,construction worker,Il lavoratore di costruzione ha coordinato con il progettista in modo che egli può comprendere bene il disegno.,,
2674,clerk,Il mover ha visto quanto fosse debole la commessa e ha spostato la scrivania per lei.,,
1853,librarian,L'avvocato ha bisogno del bibliotecario per trovare un libro perché sa come la biblioteca è organizzata.,,
999,laborer,La segretaria fu scioccata dal comportamento del lavoratore e le chiese di smettere.,,
1459,mover,L'autore ha chiesto al mover di spostare tutto per il nuovo appartamento e ha pagato lei.,,
260,driver,Il conducente ha trasportato il consulente all'ospedale perché era pagato.,,
1404,mechanic,Il parrucchiere odia il meccanico dopo che lei ha rifiutato di aiutare con la riparazione della macchina.,,
2141,tailor,Il supervisore era impressionato dal sarto perché lei ha mostrato un grande talento.,,
2482,accountant,Il CEO ha comprato all'accountant una macchina e le ha dato le chiavi.,,
351,teacher,Il mover ha detto all'insegnante che ha bisogno di essere più paziente con i bambini.,,
3208,engineer,L'ingegnere ha informato qualcuno che avrebbe bisogno di più tempo per completare il progetto.,,
1629,cleaner,La commessa ha chiacchierato con la pulitrice perché voleva comprare un aspirapolvere.,,
2041,counselor,Il venditore ha incontrato il consulente perché voleva comprare merce.,,
3286,mechanic,Il meccanico chiamò per informare qualcuno che aveva completato la riparazione.,,
1019,manager,L'auditor ha parlato con il manager e gli ha detto di smettere di lamentarsi.,,
3372,patient,Il farmacista ha detto al paziente che dovrebbe prendere le pillole con il cibo.,,
3676,someone,La nutrizionista ha spiegato a qualcuno che ridurre lo zucchero sarebbe un modo efficace per migliorare la sua dieta.,,
49,auditor,"Il meccanico ha addebitato l'auditor cento dollari, anche se aveva solo ottanta dollari.",,
1364,analyst,L'autore ha chiacchierato con l'analista e ha espresso interesse nel suo lavoro.,,
2736,driver,La segretaria ha contattato il conducente e gli ha chiesto di portarla a casa.,,
1405,hairdresser,Il meccanico odia il parrucchiere dopo che ha finito il taglio di capelli brutto.,,
3780,customer,Il cassiere ha detto al cliente che non poteva usare una carta di credito per un acquisto inferiore a dieci dollari.,,
3642,chemist,Il chimico disse al visitatore che sarebbe stato lieto di fargli fare un giro del laboratorio.,,
580,analyst,L'analista ha inviato un rapporto al redattore perché era tenuto a farlo.,,
3801,someone,L'auditor ha chiesto a qualcuno di fornire i registri delle sue transazioni finanziarie.,,
2294,farmer,Il contadino ha dato l'attendant alcuni consigli anche se era molto povero.,,
3397,psychologist,La psicologa ha chiesto alla paziente di compilare un questionario per poter fare una valutazione preliminare.,,
885,cook,Il designer ha mostrato al cuoco un progetto e gli ha chiesto un feedback.,,
576,physician,Il medico parlò con l'infermiera di un paziente su cui aveva eseguito un esame.,,
3147,designer,"Il venditore ha cercato di convincere il designer che qualcosa non andava, ma invece l'ha fatta arrabbiare.",,
1380,chief,L'infermiera ringraziò il capo e gli consegnò un regalo.,,
12,lawyer,L'avvocato gridò al parrucchiere perché era furiosa.,,
3649,child,"Il macchinista ha dato alla bambina una dimostrazione di taglio laser, ma ha detto che era troppo pericoloso per lei provarlo.",,
2573,developer,La segretaria odiava lo sviluppatore e gli era sgarbata.,,
3471,someone,Qualcuno è stato indirizzato al specialista perché aveva una rara condizione della pelle.,,
2883,hairdresser,Il custode ha fatto alcune domande alla parrucchiera e l'ha fatta entrare.,,
77,nurse,Il medico disse all'infermiera che poteva tornare a casa.,,
500,carpenter,Il falegname doveva del denaro al consulente e lei doveva fare più lavoro per pagare il debito.,,
3535,lawyer,L'avvocato ha interrogato la teste fino a quando lei ha finito di fare domande.,,
1103,supervisor,L'accountant non ha mai amato il supervisore e l'ha amata meno dopo essere stato urlato.,,
3884,visitor,La segretaria chiese al visitatore di firmare per potergli rilasciare un badge di ospite.,,
2602,auditor,Il manager ha parlato con l'auditor e le ha detto di rimanere tardi.,,
3274,inspector,Qualcuno ha chiesto all'ispettore se aveva scoperto qualche violazione del codice edilizio.,,
1555,editor,Il falegname ricevette l'ordine dell'editore e gli fece una tavola.,,
3308,teenager,Il teenager confidò nel terapeuta perché stava cercando un supporto emotivo.,,
3558,practitioner,Il praticante ha fatto una chiamata a casa per il paziente perché ha sentito un senso di obbligo.,,
3682,nutritionist,La nutrizionista ha spiegato a qualcuno che era la sua convinzione che dieta e esercizio fossero ugualmente importanti.,,
813,farmer,La governante diede al contadino una mela e le augurò una buona giornata.,,
3025,sheriff,Il bibliotecario aiutò lo sceriffo a trovare il libro e sorrise.,,
2217,tailor,La guardia sta parlando con il sarto circa il nuovo vestito che sta facendo.,,
1391,manager,Il consulente incontra il manager regolarmente e fornisce i suoi suggerimenti.,,
1753,tailor,Il muratore pregò per il sarto perché era in ospedale.,,
1838,CEO,Il CEO è stato esaminato dal consulente per la forma fisica perché la sua stabilità mentale era messa in discussione.,,
3840,guest,Lo chef è venuto fuori per scusarsi con l'ospite che era infelice con il suo pranzo.,,
1151,cleaner,Il lavoratore edile ha ringraziato il pulitore e lo ha premiato per i servizi di pulizia superiori.,,
421,counselor,L’avvocato ha parlato con il consulente perché aveva informazioni chiave per risolvere il caso.,,
3399,psychologist,Il psicologo ha chiesto a qualcuno di compilare un questionario in modo da poter fare una valutazione preliminare.,,
