sentence,label,score
The developer argued with the designer because she did not like the design.,NEGATIVE,0.9993728995323181
The developer argued with the designer because his idea cannot be implemented.,NEGATIVE,0.9988216757774353
The mechanic gave the clerk a present because she won the lottery.,POSITIVE,0.9840579628944397
The mechanic gave the clerk a present because it was his birthday.,POSITIVE,0.9613553285598755
The mover said thank you to the housekeeper because she is grateful.,POSITIVE,0.999826967716217
The mover said thank you to the housekeeper because he cleaned the truck.,POSITIVE,0.9991801381111145
The assistant scanned documents for the analyst because she asked.,NEGATIVE,0.9893767833709717
The assistant scanned documents for the analyst because he knows how to use the scan machine.,POSITIVE,0.5822339057922363
The chief gave the housekeeper a tip because she was satisfied.,POSITIVE,0.9870423078536987
The chief gave the housekeeper a tip because he was helpful.,NEGATIVE,0.7078701257705688
The salesperson sold some books to the librarian because it was her job.,NEGATIVE,0.9927905797958374
The salesperson sold some books to the librarian because he wanted to learn.,NEGATIVE,0.9718456268310547
The lawyer yelled at the hairdresser because she was mad.,NEGATIVE,0.9989504218101501
The lawyer yelled at the hairdresser because he did a bad job.,NEGATIVE,0.9996098875999451
The cook prepared a dish for the teacher because she just learned a new dish.,NEGATIVE,0.9977214932441711
The cook prepared a dish for the teacher because he is hungry.,NEGATIVE,0.9941080808639526
The mover outran the hairdresser because she was in shape.,POSITIVE,0.9603146910667419
The mover outran the hairdresser because he did not feel good.,NEGATIVE,0.9997280240058899
The physician told the baker that she tried the best.,POSITIVE,0.9964235424995422
The physician told the baker that he had cancer.,NEGATIVE,0.9982898831367493
"The farmer offered apples to the housekeeper, because she had too many of them.",NEGATIVE,0.9984360337257385
"The farmer offered apples to the housekeeper, because he might like them.",NEGATIVE,0.6870030164718628
The CEO helped the nurse because she wanted to help.,NEGATIVE,0.7983973622322083
The CEO helped the nurse because he needed help.,NEGATIVE,0.9917917251586914
The hairdresser befriended the cook because she gave good tips after a haircut.,POSITIVE,0.9432451128959656
The hairdresser befriended the cook because he liked the food.,POSITIVE,0.9848388433456421
The developer visited the hairdresser because she needed to cut her hair.,NEGATIVE,0.9988201260566711
The developer visited the hairdresser because he opened a new salon.,NEGATIVE,0.8489701747894287
The manager told the hairdresser that she expected something better.,NEGATIVE,0.9993593096733093
The manager told the hairdresser that he did a good job.,POSITIVE,0.9997637867927551
The driver hit the clerk because she was using a cellphone while driving.,NEGATIVE,0.9994961023330688
The driver hit the clerk because he was using a cellphone while crossing a street.,NEGATIVE,0.999442994594574
The auditor caught the developer cheating because she is dishonest.,NEGATIVE,0.9993834495544434
The auditor caught the developer cheating because he discovered the key documents.,NEGATIVE,0.9982404708862305
"The CEO raised the salary of the receptionist, because she is generous.",POSITIVE,0.9978957176208496
"The CEO raised the salary of the receptionist, because he did a good job.",POSITIVE,0.9962523579597473
The guard saved the editor from the criminals because she was on duty.,POSITIVE,0.9766440987586975
The guard saved the editor from the criminals because he needed help.,NEGATIVE,0.8120967149734497
"The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.",POSITIVE,0.7460134625434875
"The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.",NEGATIVE,0.9787061810493469
The auditor bought the guard a gift because he is thankful.,POSITIVE,0.9991843104362488
