Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
2423,farmer,El diseñador llamó al campesino y le hizo algunas preguntas.,,
1964,mechanic,El mecánico pidió al atendido porque necesitaba ordenar algunos herramientas.,,
518,supervisor,El supervisor mostró descontento con la recepcionista porque es muy estricta en el trabajo.,,
1037,carpenter,La recepcionista necesitaba al carpintero para crear una silla y le pidió.,,
3053,janitor,El auditor llamó al limpiador y le pidió que limpiara el salón.,,
3621,someone,El paramédico realizó CPR en alguien aunque ya estaba muerto.,,
3505,pathologist,El patólogo obtuvo muestras de tejido de la víctima para examinar bajo su microscopio.,,
1645,tailor,El desarrollador construyó un sitio web para la sastre porque ella quiere vender ropa en línea.,,
3212,client,El ingeniero informó al cliente que necesitarían hacer todos los pagos futuros a tiempo.,,
3279,someone,El mecánico llamó para informar a alguien que su coche estaría listo por la mañana.,,
896,teacher,El campesino le dio al maestro una bolsa de huevos y le agradeció por enseñar.,,
2017,attendant,La analista se encontró de manera incómoda con el atendiente que continuaba elevando su voz con los clientes.,,
1661,nurse,La médica le dijo a la enfermera que puede volver a casa.,,
2904,mechanic,La enfermera llamó al mecánico y le dijo cuál medicamento debía tomar.,,
413,housekeeper,El abogado respetaba a la empleada porque era una persona trabajadora.,,
3845,someone,El chef salió a disculparse con alguien que estaba insatisfecho con su cena.,,
1657,assistant,El mecánico contrató al asistente porque realizó el mejor durante la entrevista.,,
3689,someone,Alguien se puso en contacto con el arquitecto para explorar sus opciones de carrera.,,
2054,physician,El médico reprende al limpiador porque encontró polvo en el despacho.,,
417,hairdresser,El CEO le gustó al peluquero porque estaba dispuesto a ofrecer citas fuera de horas.,,
2198,carpenter,El carpintero se queja al cajero porque fue sobrecargado.,,
2225,housekeeper,La juez de paz cuestionó a la criada mientras ella afirmaba conocer al ladrón.,,
1743,janitor,El limpiador le entregó al escritor un libro porque quería retroalimentación.,,
2412,editor,El guardia salvó al editor de los manifestantes y la llevó a casa.,,
2963,clerk,El médico llamó al secretario y le preguntó sobre el producto.,,
119,cashier,"El abogado examinó las acusaciones ilegales contra el cajero, pero podría haber sido acusado falsamente.",,
2368,farmer,"Cuando llega el invierno, el agricultor visitó la bibliotecaria con frecuencia porque su trabajo requería menos atención.",,
3884,visitor,El secretario le pidió al visitante que firmara en el libro de registro para poder emitirle un carné de invitado.,,
2657,salesperson,"El panadero intentó ocultar el hongos en la cocina para el vendedor, pero en cambio lo hizo enfadado.",,
3070,cleaner,El supervisor detuvo a la limpiadora y le dijo que no limpiara ese cuarto.,,
1179,secretary,El médico llamó al secretario y le pidió que cancelara una cita.,,
