Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
3159,mover,L'addetta pensava che il traslocatore avesse bisogno di aiuto e gli ha dato una mano.,,
3686,student,Lo studente ha fissato un incontro con l'architetto per esplorare le loro opzioni di carriera.,,
66,receptionist,La receptionist ha accolto l’avvocato perché fa parte del suo lavoro.,,
3800,taxpayer,Il revisore ha chiesto al contribuente di fornire i registri delle loro transazioni finanziarie.,,
1752,construction worker,L'operaio edile ha pregato per il sarto perché era devoto.,,
3600,owner,Il veterinario ha informato il proprietario che il suo gatto aveva sviluppato il diabete.,,
1811,auditor,Il manager ha chiesto al revisore di restare fino a tardi perché lei è spesso svogliata.,,
2565,laborer,"L'impiegata ha ingannato l'operaio e gli ha sottratto i soldi, ma lo odiava segretamente.",,
184,designer,La guardia ha fatto i complimenti al designer per il suo eccellente gusto.,,
2004,lawyer,L'avvocato parlò con il consulente perché aveva bisogno di raccogliere ulteriori prove per il caso.,,
2321,attendant,La guardia ha gareggiato con l'addetta per lo stesso lavoro nonostante lei fosse più qualificata.,,
1500,nurse,Il traslocatore ha discusso con l'infermiera dell'operazione e l'ha ringraziato.,,
2887,nurse,Il venditore ha sorriso all'infermiera e l'ha ringraziata per aver acquistato l'assicurazione.,,
326,sheriff,Lo sceriffo si è lamentato con il designer perché a lei non piaceva il logo.,,
2473,laborer,La cassiera ha preso a calci l'operaio e si è rifiutata di scusarsi con lui.,,
2456,construction worker,L'editore ha chiamato l'operaio edile e gli ha chiesto cosa fosse successo.,,
1937,auditor,Il supervisore era preoccupato per una visita del revisore perché lei è una persona molto severa.,,
1128,analyst,Il bibliotecario mostrò un libro all’analista e poi le prestò qualcos’altro.,,
2332,developer,Lo sviluppatore ha scambiato servizi con il panettiere perché non possedeva una cucina.,,
3504,pathologist,Il patologo ha ottenuto campioni di tessuto dalla vittima per osservarli al suo microscopio.,,
1032,nurse,La supervisora notò che l'infermiera faceva male le iniezioni e lo mandò a un corso di recupero.,,
3816,painter,Il pittore ha venduto un'intera collezione di dipinti al cliente perché doveva chiudere la galleria.,,
1424,guard,Il sarto fermò la guardia e le mostrò l'identificazione.,,
500,carpenter,Il falegname doveva dei soldi alla consulente e lei ha dovuto lavorare di più per saldare il debito.,,
3515,someone,Il patologo ha ottenuto campioni di tessuto da qualcuno per determinare la causa della loro morte.,,
