en,pt

the captain finished his work .,O capitão terminou o seu trabalho.

the captain finished her work .,A capitã terminou o seu trabalho.

the investigator finished his work .,O investigador terminou o seu trabalho.

the investigator finished her work .,A investigadora terminou o seu trabalho.

the postman finished his work .,O carteiro terminou o seu trabalho.

the postman finished her work .,A carteira terminou o seu trabalho.

the author finished his work .,O autor terminou o seu trabalho.

the author finished her work .,A autora terminou o seu trabalho.

the developer finished his work .,O desenvolvedor terminou seu trabalho.

the developer finished her work .,A desenvolvedora terminou seu trabalho.

the glazier finished his work .,O vidraceiro terminou o seu trabalho.

the glazier finished her work .,A vidraceira terminou o seu trabalho.

the athlete finished his work .,O atleta terminou o seu trabalho.

the athlete finished her work .,A atleta terminou o seu trabalho.

the operator finished his work .,O operador terminou o seu trabalho.

the operator finished her work .,A operadora terminou o seu trabalho.

the educator finished his work .,O educador terminou o seu trabalho.

the educator finished her work .,A educadora terminou o seu trabalho.

the counselor finished his work .,O conselheiro terminou o seu trabalho.

the counselor finished her work .,A conselheira terminou o seu trabalho.

the writer finished his work .,O escritor terminou o seu trabalho.

the writer finished her work .,A escritora terminou o seu trabalho.

the assembler finished his work .,O montador terminou o seu trabalho.

the assembler finished her work .,A montadora terminou o seu trabalho.

the programmer finished his work .,O programador terminou o seu trabalho.

the programmer finished her work .,A programadora terminou o seu trabalho.

the inspector finished his work .,O inspetor terminou o seu trabalho.

the inspector finished her work .,A inspetora terminou o seu trabalho.

the lifeguard finished his work .,O nadador-salvador terminou o seu trabalho.

the lifeguard finished her work .,A nadadora-salvadora terminou o seu trabalho.

the detective finished his work .,O detetive terminou o seu trabalho.

the detective finished her work .,A detetive terminou o seu trabalho.

the editor finished his work .,O editor terminou o seu trabalho.

the editor finished her work .,A editora terminou o seu trabalho.

the nutritionist finished his work .,O nutricionista terminou o seu trabalho.

the nutritionist finished her work .,A nutricionista terminou o seu trabalho.

the paralegal finished his work .,O paralegal terminou o seu trabalho.

