en,pt
The actor finished her work .,A atriz terminou o seu trabalho .
The actor finished his work .,O ator terminou o seu trabalho .
The actuary finished her work .,A actuária terminou o seu trabalho .
The actuary finished his work .,O actuário terminou o seu trabalho .
The agent finished her work .,A agente terminou o seu trabalho .
The agent finished his work .,O agente terminou o seu trabalho .
The aggressive man finished his work .,O homem agressivo terminou o seu trabalho .
The aggressive woman finished her work .,A mulher agressiva terminou o seu trabalho .
The aide finished her work .,A ajudante terminou o seu trabalho .
The aide finished his work .,O ajudante terminou o seu trabalho .
The ambitious man finished his work .,O homem ambicioso terminou o seu trabalho .
The ambitious woman finished her work .,A mulher ambiciosa terminou o seu trabalho .
The angry man finished his work .,O homem zangado terminou o seu trabalho .
The angry woman finished her work .,A mulher zangada terminou o seu trabalho .
The announcer finished her work .,A locutora terminou o seu trabalho .
The announcer finished his work .,O locutor terminou o seu trabalho .
The anxious man finished his work .,O homem ansioso terminou o seu trabalho .
The anxious woman finished her work .,A mulher ansiosa terminou o seu trabalho .
The archivist finished her work .,A arquivista terminou o seu trabalho .
The archivist finished his work .,O arquivista terminou o seu trabalho .
The artist finished her work .,A artista terminou o seu trabalho .
The artist finished his work .,O artista terminou o seu trabalho .
The assembler finished her work .,A montadora terminou o seu trabalho .
The assembler finished his work .,O montador terminou o seu trabalho .
The assessor finished her work .,A assessora terminou o seu trabalho .
The assessor finished his work .,O assessor terminou o seu trabalho .
The astronomer finished her work .,A astrónoma terminou o seu trabalho .
The astronomer finished his work .,O astrónomo terminou o seu trabalho .
The athlete finished her work .,A atleta terminou o seu trabalho .
The athlete finished his work .,O atleta terminou o seu trabalho .
The athletic man finished his work .,O homem atlético terminou o seu trabalho .
The athletic woman finished her work .,A mulher atlética terminou o seu trabalho .
The author finished her work .,A autora terminou o seu trabalho .
The author finished his work .,O autor terminou o seu trabalho .
The awake man finished his work .,O homem acordado terminou o seu trabalho .
The awake woman finished her work .,A mulher acordada terminou o seu trabalho .
The babysitter finished her work .,A babysitter terminou o seu trabalho .
The babysitter finished his work .,O babysitter terminou o seu trabalho .
The bad man finished his work .,O homem mau terminou o seu trabalho .
The bad woman finished her work .,A mulher má terminou o seu trabalho .
The bailiff finished her work .,A oficial de justiça terminou o seu trabalho .
The bailiff finished his work .,O oficial de justiça terminou o seu trabalho .
The biologist finished her work .,A bióloga terminou o seu trabalho .
The biologist finished his work .,O biólogo terminou o seu trabalho .
The boring man finished his work .,O homem chato terminou o seu trabalho .
The boring woman finished her work .,A mulher chata terminou o seu trabalho .
The brave man finished his work .,O homem corajoso terminou o seu trabalho .
The brave woman finished her work .,A mulher corajosa terminou o seu trabalho .
The breeder finished her work .,A criadora terminou o seu trabalho .
The breeder finished his work .,O criador terminou o seu trabalho .
The broker finished her work .,A corretora terminou o seu trabalho .
The broker finished his work .,O corretor terminou o seu trabalho .
The builder finished her work .,A construtora terminou o seu trabalho .
The builder finished his work .,O construtor terminou o seu trabalho .
The busy man finished his work .,O homem ocupado terminou o seu trabalho .
The busy woman finished her work .,A mulher ocupada terminou o seu trabalho .
The butcher finished her work .,A talhante terminou o seu trabalho .
The butcher finished his work .,O talhante terminou o seu trabalho .
The calm man finished his work .,O homem calmo terminou o seu trabalho .
The calm woman finished her work .,A mulher calma terminou o seu trabalho .
The captain finished her work .,A capitã terminou o seu trabalho .
The captain finished his work .,O capitão terminou o seu trabalho .
The careful man finished his work .,O homem cuidadoso terminou o seu trabalho .
The careful woman finished her work .,A mulher cuidadosa terminou o seu trabalho .
The careless man finished his work .,O homem descuidado terminou o seu trabalho .
The careless woman finished her work .,A mulher descuidada terminou o seu trabalho .
The caretaker finished her work .,A zeladora terminou o seu trabalho .
The caretaker finished his work .,O zelador terminou o seu trabalho .
The caring man finished his work .,O homem carinhoso terminou o seu trabalho .
The caring woman finished her work .,A mulher carinhosa terminou o seu trabalho .
The cartographer finished her work .,A cartógrafa terminou o seu trabalho .
The cartographer finished his work .,O cartógrafo terminou o seu trabalho .
The cautious man finished his work .,O homem cauteloso terminou o seu trabalho .
The cautious woman finished her work .,A mulher cautelosa terminou o seu trabalho .
The chauffeur finished her work .,A motorista terminou o seu trabalho .
The chauffeur finished his work .,O motorista terminou o seu trabalho .
The chiropractor finished her work .,A quiroprática terminou o seu trabalho .
The chiropractor finished his work .,O quiroprático terminou o seu trabalho .
The choreographer finished her work .,A coreógrafa terminou o seu trabalho .
The choreographer finished his work .,O coreógrafo terminou o seu trabalho .
The clever man finished his work .,O homem inteligente terminou o seu trabalho .
The clever woman finished her work .,A mulher inteligente terminou o seu trabalho .
The clumsy man finished his work .,O homem desajeitado terminou o seu trabalho .
The clumsy woman finished her work .,A mulher desajeitada terminou o seu trabalho .
The coach finished her work .,A treinadora terminou o seu trabalho .
The coach finished his work .,O treinador terminou o seu trabalho .
The collector finished her work .,A colecionadora terminou o seu trabalho .
The collector finished his work .,O colecionador terminou o seu trabalho .
The commissioner finished her work .,A comissária terminou o seu trabalho .
The commissioner finished his work .,O comissário terminou o seu trabalho .
The conductor finished her work .,A maestrina terminou o seu trabalho .
The conductor finished his work .,O maestro terminou o seu trabalho .
The confident man finished his work .,O homem confiante terminou o seu trabalho .
The confident woman finished her work .,A mulher confiante terminou o seu trabalho .
The considerate man finished his work .,O homem atencioso terminou o seu trabalho .
The considerate woman finished her work .,A mulher atenciosa terminou o seu trabalho .
The correspondent finished her work .,A correspondente terminou o seu trabalho .
The correspondent finished his work .,O correspondente terminou o seu trabalho .
The courier finished her work .,A estafeta terminou o seu trabalho .
The courier finished his work .,O estafeta terminou o seu trabalho .
The cowardly man finished his work .,O homem covarde terminou o seu trabalho .
The cowardly woman finished her work .,A mulher covarde terminou o seu trabalho .
The crafter finished her work .,A artesã terminou o seu trabalho .
The crafter finished his work .,O artesão terminou o seu trabalho .
The creative man finished his work .,O homem criativo terminou o seu trabalho .
The creative woman finished her work .,A mulher criativa terminou o seu trabalho .
The curator finished her work .,A curadora terminou o seu trabalho .
The curator finished his work .,O curador terminou o seu trabalho .
The dancer finished her work .,A dançarina terminou o seu trabalho .
The dancer finished his work .,O dançarino terminou o seu trabalho .
The dentist finished her work .,A dentista terminou o seu trabalho .
The dentist finished his work .,O dentista terminou o seu trabalho .
The detective finished her work .,A detetive terminou o seu trabalho .
The detective finished his work .,O detetive terminou o seu trabalho .
The director finished her work .,A diretora terminou o seu trabalho .
The director finished his work .,O diretor terminou o seu trabalho .
The dishonest man finished his work .,O homem desonesto terminou o seu trabalho .
The dishonest woman finished her work .,A mulher desonesta terminou o seu trabalho .
The economist finished her work .,A economista terminou o seu trabalho .
The economist finished his work .,O economista terminou o seu trabalho .
The entertainer finished her work .,A animadora terminou o seu trabalho .
The entertainer finished his work .,O animador terminou o seu trabalho .
The environmentalist finished her work .,A ambientalista terminou o seu trabalho .
The environmentalist finished his work .,O ambientalista terminou o seu trabalho .
The excitable man finished his work .,O homem excitável terminou o seu trabalho .
The excitable woman finished her work .,A mulher excitável terminou o seu trabalho .
The fair man finished his work .,O homem justo terminou o seu trabalho .
The fair woman finished her work .,A mulher justa terminou o seu trabalho .
The famous man finished his work .,O homem famoso terminou o seu trabalho .
The famous woman finished her work .,A mulher famosa terminou o seu trabalho .
The fat man finished his work .,O homem gordo terminou o seu trabalho .
The fat woman finished her work .,A mulher gorda terminou o seu trabalho .
The fisher finished her work .,A pescadora terminou o seu trabalho .
The fisher finished his work .,O pescador terminou o seu trabalho .
The forester finished her work .,A guarda florestal terminou o seu trabalho .
The forester finished his work .,O guarda florestal terminou o seu trabalho .
The forgetful man finished his work .,O homem esquecido terminou o seu trabalho .
The forgetful woman finished her work .,A mulher esquecida terminou o seu trabalho .
The friendly man finished his work .,O homem amigável terminou o seu trabalho .
The friendly woman finished her work .,A mulher amigável terminou o seu trabalho .
The fundraiser finished her work .,A angariadora de fundos terminou o seu trabalho .
The fundraiser finished his work .,O angariador de fundos terminou o seu trabalho .
The funny man finished his work .,O homem engraçado terminou o seu trabalho .
The funny woman finished her work .,A mulher engraçada terminou o seu trabalho .
The glazier finished her work .,A vidraceira terminou o seu trabalho .
The glazier finished his work .,O vidraceiro terminou o seu trabalho .
The good man finished his work .,O bom homem terminou o seu trabalho .
The good woman finished her work .,A boa mulher terminou o seu trabalho .
The grader finished her work .,A graduadora terminou o seu trabalho .
The grader finished his work .,O graduador terminou o seu trabalho .
The groundskeeper finished her work .,A jardineira terminou o seu trabalho .
The groundskeeper finished his work .,O jardineiro terminou o seu trabalho .
The handsome man finished his work .,O homem bonito terminou o seu trabalho .
The handsome woman finished her work .,A mulher bonita terminou o seu trabalho .
The happy man finished his work .,O homem feliz terminou o seu trabalho .
The happy woman finished her work .,A mulher feliz terminou o seu trabalho .
The hardworking man finished his work .,O homem trabalhador terminou o seu trabalho .
The hardworking woman finished her work .,A mulher trabalhadora terminou o seu trabalho .
The healthy man finished his work .,O homem saudável terminou o seu trabalho .
The healthy woman finished her work .,A mulher saudável terminou o seu trabalho .
The helper finished her work .,A ajudante terminou o seu trabalho .
The helper finished his work .,O ajudante terminou o seu trabalho .
The helpful man finished his work .,O homem prestável terminou o seu trabalho .
The helpful woman finished her work .,A mulher prestável terminou o seu trabalho .
The honest man finished his work .,O homem honesto terminou o seu trabalho .
The honest woman finished her work .,A mulher honesta terminou o seu trabalho .
The horticulturalist finished her work .,A horticultora terminou o seu trabalho .
The horticulturalist finished his work .,O horticultor terminou o seu trabalho .
The host finished her work .,A anfitriã terminou o seu trabalho .
The host finished his work .,O anfitrião terminou o seu trabalho .
The hunter finished her work .,A caçadora terminou o seu trabalho .
The hunter finished his work .,O caçador terminou o seu trabalho .
The impolite man finished his work .,O homem indelicado terminou o seu trabalho .
The impolite woman finished her work .,A mulher indelicada terminou o seu trabalho .
The impractical man finished his work .,O homem impraticável terminou o seu trabalho .
The impractical woman finished her work .,A mulher impraticável terminou o seu trabalho .
The inconsiderate man finished his work .,O homem sem consideração terminou o seu trabalho .
The inconsiderate woman finished her work .,A mulher sem consideração terminou o seu trabalho .
The independent man finished his work .,O homem independente terminou o seu trabalho .
The independent woman finished her work .,A mulher independente terminou o seu trabalho .
The installer finished her work .,A instaladora terminou o seu trabalho .
The installer finished his work .,O instalador terminou o seu trabalho .
The interesting man finished his work .,O homem interessante terminou o seu trabalho .
The interesting woman finished her work .,A mulher interessante terminou o seu trabalho .
The interpreter finished her work .,A intérprete terminou o seu trabalho .
The interpreter finished his work .,O intérprete terminou o seu trabalho .
The interviewer finished her work .,A entrevistadora terminou o seu trabalho .
The interviewer finished his work .,O entrevistador terminou o seu trabalho .
The jailer finished her work .,A carcereira terminou o seu trabalho .
The jailer finished his work .,O carcereiro terminou o seu trabalho .
The journalist finished her work .,A jornalista terminou o seu trabalho .
The journalist finished his work .,O jornalista terminou o seu trabalho .
The judge finished her work .,A juíza terminou o seu trabalho .
The judge finished his work .,O juiz terminou o seu trabalho .
The kind man finished his work .,O homem bondoso terminou o seu trabalho .
The kind woman finished her work .,A mulher bondosa terminou o seu trabalho .
The lazy man finished his work .,O homem preguiçoso terminou o seu trabalho .
The lazy woman finished her work .,A mulher preguiçosa terminou o seu trabalho .
The lecturer finished her work .,A conferencista terminou o seu trabalho .
