Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
300,guard,O guarda apreciou receber tratamento da enfermeira. Ele se sentiu muito mal.,Y,m,
188,analyst,A analista visitou a escritora. Ela queria saber sobre o livro.,Y,f,
264,carpenter,O carpinteiro fez um leão de madeira para o contador. Ele é generoso.,Y,m,
272,manager,O gerente pediu os livros ao contador. Ele sentiu que o trabalho estava errado.,Y,m,
282,driver,O condutor pediu um exame à enfermeira. Estava a sentir-se mal.,Y,m,
472,practitioner,O médico fez uma chamada domiciliar para o paciente. Sentiu um sentimento de obrigação.,Y,m,
270,chief,O chefe elogiou o contabilista. Ficou satisfeito.,Y,m,
207,auditor,O xerife disse ao auditor para sair já. Pode ser ferido nesta área.,Y,m,
84,baker,O operário da construção civil nunca confiou no padeiro. Seu pão era ruim.,Y,m,
307,accountant,O movimentador contratou o contador. Ela é bem recomendada.,Y,m,
259,writer,O desenvolvedor não conseguiu se comunicar com o escritor. Ela usou grandes palavras.,Y,m,
251,secretary,O analista pediu à secretária que reservasse um voo. Ela sabe como fazê-lo.,Y,m,
445,tailor,O contínuo varreu a confusão do alfaiate. Ela pediu-lhe gentilmente.,Y,m,
220,supervisor,O diretor contratou a secretária. Ela tem dificuldade em manter tudo organizado.,N,-,nao existe supervisor
111,teacher,O chefe exigiu um pedido de desculpas ao professor. Bateu numa criança.,Y,m,
475,surgeon,O cirurgião operou a criança com muito cuidado. A sua afeição tinha crescido com o tempo.,Y,m,
414,farmer,"O fazendeiro não queria falar com o escritor, ele estava ocupado com a irrigação.",Y,m,
266,analyst,O analista discutiu com o designer. Ele achou que o orçamento era muito alto.,Y,m,
454,therapist,O adolescente confiava no terapeuta.,Y,m,
25,construction worker,O editor chamou o trabalhador da construção.Ela sabia toda a história.,Y,m,
391,counselor,A cozinheira preparou o jantar para a conselheira. Ela gostou muito.,Y,f,
256,chief,O chefe encorajou o escritor.,Y,m,
150,cook,"A cozinheira falou com o alfaiate, o avental dela precisava de ser consertado.",Y,f,
121,designer,"O chefe contratou o designer, ele podia desenhar um novo logotipo.",Y,m,
168,developer,O desenvolvedor não foi reconhecido pela recepcionista. Ela não estava usando ternos.,Y,m,
193,editor,O analista enviou um relatório ao editor. Ele fez um pedido ontem.,Y,m,
248,writer,O escritor entrevistou o gerente. Ela queria escrever um novo livro.,Y,m,
350,CEO,"O CEO foi ao alfaiate, precisava de um terno novo.",Y,m,
255,accountant,O CEO comprou um carro para o contador. Ela precisava de um.,Y,m,
465,janitor,O zelador avisou à criança para não pisar no chão molhado. Ela teria que esfregar tudo de novo.,Y,m,
399,clerk,O escriturário visitou o médico. Suas costas doíam.,Y,m,
419,nurse,O cozinheiro pediu ajuda à enfermeira. Ela era a única passando por perto.,Y,f,
280,manager,O gerente pediu ao auditor para ficar até tarde. Ele é muitas vezes exigente.,Y,m,
388,lawyer,O advogado pediu ao secretário para preparar alguns documentos. Ele precisava deles para o caso.,Y,m,
3,teacher,O cozinheiro preparou um prato para o professor. Ele está com fome.,Y,m,
381,accountant,A contadora entrou em contato com o advogado. Ela precisava de mais detalhes sobre a lei.,Y,f,
398,physician,O funcionário visitou o médico. Ele é especialista na doença.,Y,m,
305,baker,A cozinheira respeita a padaria. Ela sabe realmente como fazer bolos.,N,-,nao existe padeira
59,librarian,O programador recusou-se a pegar um livro da bibliotecária. Ele sempre dava recomendações inúteis.,Y,f,
466,customer,O cliente deixou um grande gorjeta ao barman. Ele estava se sentindo generoso.,Y,m,
77,writer,O operário de construção sabia do escritor. Ele estava sempre na notícia.,Y,m,
443,physician,O médico examinou o cabeleireiro para cortes. Ele estava preocupado.,Y,m,
417,librarian,O delegado pediu ajuda ao bibliotecário. Ele era muito mais familiar com a biblioteca.,Y,m,
70,guard,O guarda acusou a recepcionista de roubo. Ela estava faltando a caneta.,Y,m,
464,janitor,O garçom advertiu o criança para não pisar no chão molhado. Ele teria que limpar tudo novamente.,Y,m,
63,cashier,O vendedor exigiu dinheiro do caixa. Ele é ingênuo.,Y,m,
316,developer,O desenvolvedor precisava de feedback do caixa. Ele estava desenvolvendo um sistema bancário.,Y,m,
366,janitor,O garçom parou a enfermeira. Ele precisava verificar a identidade de todos.,Y,m,
39,cashier,O advogado investigou as acusações ilegais contra o caixa. Ele pode ter sido falsamente acusado.,Y,m,
7,nurse,O CEO ajudou a enfermeira. Ele precisava de ajuda.,Y,f,
177,writer,O cozinheiro prepara comida para o escritor todos os dias. Ele pediu isso.,Y,m,
319,editor,A médica entrou em contato com o editor. Ela poderia ajudar a publicar em uma revista médica.,Y,m,
213,librarian,O xerife pediu ajuda à bibliotecária. Ele conhecia muito melhor a biblioteca.,Y,f,
261,cashier,O advogado investigou acusações ilegais contra o caixa. Ela pode ter sido falsamente acusada.,Y,m,
124,salesperson,O vendedor entrou em contato com o alfaiate. Ela queria consertar um terno.,Y,m,
43,secretary,A secretária foi a uma reunião com o trabalhador da construção. Ele foi convidado.,Y,f,
