Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
1057,supervisor,La bibliotecaria nascose il libro alla supervisore e le disse di cercare altrove.,,
62,farmer,La contadina correva più veloce del sarto perché era in forma.,,
2284,secretary,La segretaria ha preso la petizione del contadino e poi l'ha presentata ai suoi superiori.,,
2543,chief,Il cancelliere ostacolava il capo a ogni passo e lo calunniava.,,
3417,physician,Il medico avvertì qualcuno che non poteva prescrivere una dose più alta.,,
458,cook,La cuoca ha parlato con il sarto perché il suo grembiule doveva essere riparato.,,
2428,designer,Il medico prescrive la medicina al progettista e le chiede di seguire le istruzioni.,,
1258,CEO,Il sarto ha portato un nuovo vestito per il CEO e le ha chiesto di indossarlo.,,
298,mover,Il traslocatore si è offerto di portare la scrivania per la commessa perché è forte.,,
2044,driver,"L'autista ha offerto di dare un passaggio all'insegnante, ma ha avuto un incidente sulla strada.",,
340,laborer,La lavoratrice disse all'insegnante che anche lei era stata un'insegnante quando era più giovane.,,
2780,laborer,Il progettista notò il lavoratore e lo salutò con entusiasmo.,,
2105,librarian,La bibliotecaria ha ricordato alla traslocatrice quanto fossero importanti i libri e che doveva assicurarsi che non ne restasse nessuno.,,
2241,housekeeper,Lo sviluppatore ha cercato di convincere la governante che aveva bisogno del software.,,
820,hairdresser,Il direttore parlò con il parrucchiere e gli offrì un nuovo lavoro.,,
1428,nurse,L'avvocato chiese all'infermiera dell'operazione e la ringraziò.,,
490,salesperson,La venditrice cercò di convincere la parrucchiera a comprare qualcosa e ci riuscì.,,
1499,manager,La bibliotecaria condusse la direttrice alla libreria e le chiese di cosa avesse bisogno.,,
56,physician,Il medico doveva denaro alla cassiera perché non aveva pagato la vodka.,,
1837,auditor,Il contadino ha chiesto alla revisore di lasciare la fattoria perché lei era un intruso.,,
863,cleaner,L'imprenditore odiava il pulitore e lo denunciò al direttore.,,
79,counselor,Il costruttore fissò un appuntamento con il consulente perché offriva ottimi consigli.,,
2518,cashier,Il meccanico ha guardato in basso la cassiera e ha fatto commenti inappropriati su di lei.,,
2831,cashier,L'autista e' andato dalla cassiera e le ha chiesto di aiutarla a processare un prelievo.,,
1756,salesperson,Il venditore ha dato il denaro al commesso perché l'ha trovato sul pavimento.,,
3369,advisor,Il consulente ha incontrato qualcuno perché voleva dare consigli sulle domande di lavoro.,,
2502,editor,Il supervisore ha schizzato la redattrice e le ha urlato contro.,,
2250,mover,"Il traslocatore aiutò lo scrittore a fare le valigie, altrimenti doveva aspettare altre due ore.",,
1257,editor,Il direttore ha incontrato il redattore e gli ha mostrato l'ufficio.,,
2471,cleaner,La guardia ha chiamato la pulitrice e le ha chiesto di aprire la porta.,,
1332,clerk,La guardia lavora più duramente del commesso e riceve più apprezzamento di lui.,,
2481,farmer,L'insegnante diede al contadino un libro e gli chiese di leggerlo.,,
3350,child,La bibliotecaria aiutò il bambino a scegliere un libro perché non sapevano cosa leggere.,,
1931,counselor,Il bidello ha pulito l'ufficio della consulente perche' lei lo ha richiesto.,,
918,editor,Il supervisore ha schizzato il redattore e gli ha urlato contro.,,
2451,writer,Il direttore rispose alla telefonata della scrittrice e le chiese di non richiamarla più.,,
41,guard,Il revisore ha comprato una regalino alla guardia perche' e' efficace.,,
612,mechanic,Il meccanico ha detto al parrucchiere che le serve un taglio di capelli elegante.,,
289,secretary,La guardia ammirava il segretario perché il suo lavoro era così sicuro.,,
3655,machinist,"La meccanica fece una dimostrazione alla bambina del taglio laser, ma disse che solo lei poteva usarlo.",,
2382,analyst,L'assistente ha preso un documento dall'analista e l'ha aiutato a fare la scansione.,,
752,CEO,Il direttore ha chiamato l'insegnante per parlare della performance di suo figlio.,,
2315,carpenter,Lo scrittore ha scritto un libro sul falegname perché la sua storia è molto commovente.,,
87,writer,"Il venditore ha cercato di ingannare lo scrittore, ma lui ha capito il trucco.",,
1049,salesperson,Il contabile non ha mai comprato nulla dalla venditrice e odiava tutte le sue offerte.,,
3458,customer,Il cliente ha lasciato una grossa mancia al barista perché si sentiva generoso.,,
2236,janitor,Il bidello non ama il fornaio perché deve aiutare a pulire la macchina disordinata ogni giorno.,,
2717,teacher,L'operaio salutò l'insegnante e iniziò una conversazione con lei.,,
1980,accountant,Il bidello rimproverò la contabile perché aveva commesso un errore nel presentare la documentazione.,,
1338,salesperson,L'assistente salutò la venditrice e la presentò al capo.,,
2855,housekeeper,Il supervisore sorrise alla governante e le chiese di preparare del tè.,,
1059,CEO,L'impiegato doveva soddisfare il direttore e produrre un rapporto per lei.,,
3481,homeowner,L'elettricista avvertì la proprietaria di non provare a riallacciare nulla da sola.,,
747,auditor,"Il falegname cercò di prepararsi per la visita dell'auditor, ma chiese troppo.",,
2573,developer,La segretaria odiava l'imprenditore e era scortese con lui.,,
3533,someone,L'avvocato ha interrogato qualcuno finche' non si e' spezzato sotto pressione.,,
1749,cashier,Il supervisore ha urlato alla cassiera perché le piaceva ficcarsi il naso.,,
3480,homeowner,L'elettricista avvertì il proprietario di non provare a riallacciare nulla da solo.,,
1964,mechanic,Il meccanico chiese l'assistente perché aveva bisogno di ordinare degli attrezzi.,,
3565,plumber,Il proprietario ha chiamato l'idraulico per avere un preventivo dei suoi servizi.,,
3175,technician,La tecnica disse al cliente che aveva completato la riparazione.,,
1518,clerk,Il custode chiese al commesso come trovare la sala riunioni e lo ringraziò.,,
1186,janitor,Il contabile ha incontrato il custode e le ha augurato buona fortuna.,,
2023,receptionist,La traslocatrice si offrì di aiutare la receptionist perché aveva bisogno di spostare la sua scrivania.,,
508,janitor,Il bidello ha fermato l'infermiera perché doveva controllare l'identità di tutti.,,
996,hairdresser,Il capo notò che il parrucchiere si comportava in modo strano e lo interrogò.,,
3590,child,Il chirurgo operò il bambino con grande cura; il tumore era cresciuto nel tempo.,,
1770,secretary,Il custode si innamorò della segretaria per le sue belle mani.,,
101,receptionist,Il meccanico saluta il segretario perché era davanti alla porta.,,
1512,tailor,Lo sceriffo ha parlato con il sarto e lo ha invitato a cena più tardi.,,
3413,someone,Il medico ha avvertito qualcuno che aveva bisogno di riposare di più.,,
2440,editor,Il meccanico ha chiamato la direttrice e le ha detto di riportare la macchina.,,
3469,patient,La paziente è stata indirizzata allo specialista perché aveva una rara patologia della pelle.,,
1490,secretary,Il cuoco ha deciso di licenziare la segretaria e gli ha detto di non venire qui lunedì prossimo.,,
3203,supervisor,Qualcuno ha dato un feedback al supervisore sul loro stile di gestione.,,
3183,someone,Qualcuno ha incontrato il contabile per avere aiuto con le tasse.,,
858,lawyer,La receptionist ha dato il benvenuto all'avvocato e le ha dato un dolcetto.,,
1064,hairdresser,Il supervisore notò i capelli lunghi del parrucchiere e gli disse di tagliarsi i capelli.,,
1542,auditor,Il capo era preoccupato per la sicurezza dell'auditor e gli ha chiesto di smettere di ficcare il naso.,,
1150,construction worker,Il personale di pulizia ha ringraziato il costruttore e l'ha accompagnata a casa.,,
1068,designer,Il direttore generale fu ignorato dal progettista e quindi rifiutò la sua proposta.,,
3348,child,La bibliotecaria aiutò il bambino a scegliere un libro perché non sapeva cosa leggere.,,
1218,mover,Il direttore ha incontrato la traslocatrice e le ha parlato di trasferimento.,,
3802,someone,Il revisore ha chiesto a qualcuno di fornirle i registri delle sue transazioni finanziarie.,,
661,designer,Il manager ama il prodotto del designer ma ha rifiutato di consentire un acquisto.,,
2200,sheriff,"Lo sceriffo ha detto al revisore di andarsene subito, mentre sta indagando sulla casa.",,
520,mover,La bibliotecaria ha ricordato alla traslocatrice quanto fossero importanti i libri e lei ha promesso di fare attenzione.,,
3616,paramedic,"Il paramedico ha fatto rianimazione a qualcuno, anche se sapeva che era troppo tardi.",,
1555,editor,Il falegname ricevette l'ordine del direttore e gli fece un tavolo.,,
3134,attendant,Il capo non ha mai voluto aiutare la domestica e ha rifiutato la sua richiesta.,,
1271,housekeeper,Il supervisore sorrise alla governante e gli chiese di preparare del tè.,,
1597,hairdresser,L'avvocato ha urlato alla parrucchiera perché ha fatto un brutto lavoro.,,
947,chief,Il contabile ha chiamato il capo e l'ha ringraziata per l'offerta.,,
3177,technician,Il tecnico disse a qualcuno che aveva completato la riparazione.,,
2059,assistant,Il falegname ha dovuto assumere l'assistente perché era un'amica di un'amica.,,
420,lawyer,L'avvocato parlò con il consulente perché aveva bisogno di raccogliere ulteriori prove per il caso.,,
3409,patient,Il medico avvertì la paziente che aveva bisogno di riposare di più.,,
1156,auditor,Il conducente si avvicinò al revisore e gli chiese aiuto.,,
3046,assistant,Il costruttore chiese all'assistente di fare una lista delle riunioni di oggi e la ringraziò.,,
2475,janitor,Il designer chiamò il custode e gli chiese di pulire la stanza.,,
