Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
891,janitor,Le designer a appelé le janitor et lui a demandé de nettoyer la pièce.,,
786,assistant,L'assistant a embauché le chauffeur car il n'avait pas encore la licence.,,
3581,instructor,L’instructeur a encouragé quelqu’un à assister à ses séances d’aide.,,
216,lawyer,L'avocat a dit à l'auditeur de fournir la documentation parce qu'elle avait besoin de présenter la preuve en cour.,,
2495,lawyer,Le caissier a embauché l'avocat et lui a donné toutes les informations.,,
2145,secretary,Le chef a remercié la secrétaire parce qu'elle avait recommandé au patron d'essayer le restaurant.,,
3478,specialist,Une personne a été renvoyée au spécialiste parce qu'elle avait des connaissances sur des maladies rares de la peau.,,
1677,designer,La cuisinière a demandé à la designer si elle aimait le nouveau plat.,,
3363,someone,L'advisor a rencontré quelqu'un parce qu'il voulait obtenir des conseils sur les demandes d'emploi.,,
2933,tailor,Le superviseur a parlé avec la tailleuse et a été impressionné par son talent.,,
1476,tailor,Le mover est allé à la maison du tailleur et l'a aidé à déplacer les boîtes.,,
843,manager,Le boulanger a discuté avec le gérant et lui a jeté un pain.,,
3438,patient,L'infirmière a informé le patient que son sang serait prélevé dans une heure.,,
2123,receptionist,Le développeur n'a pas été reconnu par le réceptionniste parce qu'elle ne portait que des personnes portant des costumes.,,
3605,someone,Le vétérinaire a informé quelqu'un que leur chat avait développé le diabète.,,
2665,guard,Le secrétaire n'a jamais vu le garde et ne veut pas son travail.,,
1579,assistant,Le chauffeur était ennuyé avec l'assistant et lui a demandé de ne jamais revenir.,,
3372,patient,Le pharmacien a dit au patient qu'il devrait prendre les pilules avec de la nourriture.,,
2259,receptionist,Le chef a employé la réceptionniste parce qu'elle peut aider à répondre et enregistrer les commandes par téléphone.,,
3469,patient,La patiente a été renvoyée au spécialiste parce qu'elle avait une condition rare de la peau.,,
3050,receptionist,Le chef a embauché la réceptionniste et lui a acheté un nouveau téléphone pour le travail.,,
1800,lawyer,L'avocat a dit à l'auditeur de fournir des documents parce qu'il avait besoin de présenter une preuve en cour.,,
1757,clerk,Le vendeur a remis l'argent au caissier parce qu'elle était responsable des objets perdus.,,
1633,auditor,Le mécanicien a facturé l'auditeur cent dollars bien qu'elle n'avait que quatre-vingt dollars.,,
2091,hairdresser,Le gardien a attendu le coiffeur pendant un moment parce qu'il était très occupé.,,
2523,analyst,Le designer a argumenté avec l'analyste et l'a giflé.,,
2923,attendant,Le vendeur a salué l'attendant et a essayé de lui vendre quelque chose.,,
630,guard,La gardienne parle au boulanger du voleur qu'elle a attrapé la nuit dernière.,,
3309,someone,Quelqu'un a confié au thérapeute parce qu'il cherchait un soutien émotionnel.,,
131,laborer,Le travailleur mange plus que le secrétaire parce qu'il a faim.,,
1143,mover,L'enseignant a conduit le mover à la maison et lui a payé pour le travail.,,
2698,carpenter,Le coiffeur a appelé le charpentier et lui a demandé de l'aide.,,
229,receptionist,Le garde a accusé le réceptionniste de vol parce qu'il avait l'air coupable.,,
2833,counselor,Le vendeur a vu le conseiller et lui a vendu des livres.,,
2209,cashier,Le cuisinier parle à la caissière car elle a surfacturé un client.,,
267,clerk,Le PDG a demandé au commis de produire un rapport pour justifier son comportement.,,
3349,child,La bibliothécaire a aidé l'enfant à choisir un livre parce qu'elle ne savait pas quoi lire.,,
1192,carpenter,L'enseignant a parlé au charpentier et lui a demandé de réparer une chaise.,,
3852,patient,Le médecin a dit au patient qu'il serait à risque sans la vaccination.,,
3737,paralegal,"Le parajuriste a oublié de déposer les documents pour quelqu'un, donc ils ont été congédiés.",,
1939,editor,Le développeur a contacté l'éditeur parce qu'il avait besoin de clarifications supplémentaires pour éditer le livre.,,
2803,editor,Le mover a rencontré l'éditrice et lui a demandé des informations sur le magazine.,,
2904,mechanic,L'infirmière a appelé le mécanicien et lui a dit quel médicament prendre.,,
3416,physician,Le médecin a averti le patient qu'il ne pouvait pas prescrire une dose plus élevée en toute sécurité.,,
529,nurse,Le mécanicien a appelé l'infirmière parce qu'il savait comment traiter les jambes cassées.,,
1972,farmer,Le fermier s'est plaint au caissier parce qu'il se sentait désrespecté.,,
3576,instructor,L'instructeur a encouragé l'étudiant à assister à ses séances d'aide.,,
3462,bartender,Le client a laissé au barman une grosse pièce de monnaie parce qu'il avait fait la boisson très forte.,,
1804,laborer,Le travailleur a donné à l'assistant un marteau parce qu'il était fatigué de travailler.,,
